,vid,HG03453,HG01891,HG02559,HG01978,HG00673,HG00741,HG02486,HG00735,HG01258,HG01106,HG03516,HG03579,HG01123,HG03540,HG02622,HG02717,HG01928,HG01952,HG02572,HG02148,HG01358,HG02886,HG00438,HG01175,HG02630,HG00621,HG01361,HG02257
3,3.0,15.0,39.0,30.0,16.0,25.0,14.0,39.0,6.0,23.0,15.0,31.0,28.0,10.0,25.0,17.0,20.0,13.0,23.0,19.0,4.0,5.0,33.0,33.0,7.0,18.0,14.0,17.0,24.0
28,28.0,87.0,69.0,69.0,128.0,109.0,51.0,58.0,44.0,107.0,47.0,76.0,47.0,105.0,86.0,124.0,47.0,128.0,141.0,109.0,98.0,51.0,97.0,89.0,66.0,91.0,118.0,94.0,65.0
29,29.0,87.0,69.0,69.0,128.0,109.0,51.0,58.0,44.0,107.0,47.0,76.0,47.0,105.0,86.0,124.0,47.0,128.0,141.0,109.0,98.0,51.0,97.0,89.0,66.0,91.0,118.0,94.0,65.0
30,30.0,87.0,69.0,69.0,128.0,109.0,51.0,58.0,44.0,107.0,47.0,76.0,47.0,105.0,86.0,124.0,47.0,128.0,141.0,109.0,98.0,51.0,97.0,89.0,66.0,91.0,118.0,94.0,65.0
31,31.0,87.0,69.0,69.0,128.0,109.0,51.0,58.0,44.0,107.0,47.0,76.0,47.0,105.0,86.0,124.0,47.0,128.0,141.0,109.0,98.0,51.0,96.0,89.0,66.0,91.0,118.0,94.0,65.0
35,35.0,41.0,68.0,18.0,59.0,86.0,34.0,40.0,63.0,55.0,60.0,61.0,33.0,58.0,65.0,79.0,40.0,63.0,94.0,27.0,64.0,31.0,45.0,55.0,37.0,110.0,110.0,57.0,45.0
39,39.0,56.0,82.0,28.0,59.0,85.0,34.0,37.0,65.0,62.0,64.0,58.0,31.0,62.0,83.0,84.0,49.0,58.0,93.0,25.0,63.0,43.0,50.0,56.0,40.0,110.0,115.0,58.0,43.0
41,41.0,53.0,78.0,28.0,58.0,83.0,34.0,36.0,63.0,60.0,63.0,55.0,30.0,61.0,81.0,79.0,46.0,53.0,87.0,25.0,62.0,42.0,48.0,56.0,40.0,108.0,114.0,57.0,42.0
42,42.0,53.0,78.0,28.0,58.0,83.0,34.0,36.0,63.0,60.0,63.0,55.0,30.0,61.0,81.0,79.0,46.0,53.0,87.0,25.0,62.0,42.0,48.0,56.0,40.0,108.0,114.0,57.0,42.0
145,145.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,0.0,1.0,3.0,0.0
146,146.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,0.0,1.0,3.0,0.0
