FamilyID SampleID MotherID FatherID
HG00438 HG00438 HG00436 HG00437
HG00621 HG00621 HG00619 HG00620
HG00673 HG00673 HG00671 HG00672
HG00735 HG00735 HG00734 HG01047
HG00741 HG00741 HG00739 HG00740
HG01106 HG01106 HG01104 HG01105
HG01123 HG01123 HG01121 HG01122
HG01175 HG01175 HG01173 HG01174
HG01258 HG01258 HG01256 HG01257
HG01358 HG01358 HG01356 HG01357
HG01361 HG01361 HG01359 HG01360
HG01891 HG01891 HG01889 HG01890
HG01928 HG01928 HG01926 HG01927
HG01952 HG01952 HG01950 HG01951
HG01978 HG01978 HG01976 HG01977
HG02148 HG02148 HG02146 HG02147
HG02257 HG02257 HG02255 HG02256
HG02486 HG02486 HG02484 HG02485
HG02559 HG02559 HG02557 HG02558
HG02572 HG02572 HG02570 HG02571
HG02622 HG02622 HG02620 HG02621
HG02630 HG02630 HG02628 HG02629
HG02717 HG02717 HG02715 HG02716
HG02886 HG02886 HG02884 HG02885
HG03453 HG03453 HG03451 HG03452
HG03516 HG03516 HG03514 HG03515
HG03540 HG03540 HG03538 HG03539
HG03579 HG03579 HG03577 HG03578
